period,region,abbrevs,names,days100_p10,days100_p50,days100_p90
0,0,WANorth,Western Australia North,0.0,0.0,0.0
0,1,WASouth,Western Australia South,0.0,0.0,0.0
0,2,NSW,New South Wales and Australian Capital Territory,0.0,0.0,0.0
0,3,VIC,Victoria,0.0,0.0,0.0
0,4,SA,South Australia,0.0,0.0,0.0
0,5,TAS,Tasmania,0.0,0.0,0.0
0,6,NT,Northern Territory,0.0,0.0,0.0
0,7,QLDNorth,Queensland North,0.0,0.0,0.0
0,8,QLDSouth,Queensland South,0.0,0.0,0.0
0,9,AUS,Australia,0.0,0.0,0.0
1,0,WANorth,Western Australia North,3.3,6.06,11.08
1,1,WASouth,Western Australia South,2.3,5.03,7.72
1,2,NSW,New South Wales and Australian Capital Territory,0.39,1.01,2.27
1,3,VIC,Victoria,0.09,0.26,0.86
1,4,SA,South Australia,2.47,4.24,8.15
1,5,TAS,Tasmania,0.0,0.0,0.0
1,6,NT,Northern Territory,0.92,2.12,4.95
1,7,QLDNorth,Queensland North,0.08,0.25,0.77
1,8,QLDSouth,Queensland South,0.9,1.78,4.28
1,9,AUS,Australia,1.71,2.98,6.16
2,0,WANorth,Western Australia North,5.76,9.68,15.49
2,1,WASouth,Western Australia South,5.08,7.02,11.5
2,2,NSW,New South Wales and Australian Capital Territory,0.34,1.5,2.97
2,3,VIC,Victoria,0.13,0.43,1.4
2,4,SA,South Australia,3.81,5.46,9.93
2,5,TAS,Tasmania,0.0,0.0,0.0
2,6,NT,Northern Territory,1.48,3.17,8.06
2,7,QLDNorth,Queensland North,0.15,0.52,1.25
2,8,QLDSouth,Queensland South,1.12,2.99,5.18
2,9,AUS,Australia,2.9,4.64,7.66
3,0,WANorth,Western Australia North,6.75,16.47,26.42
3,1,WASouth,Western Australia South,5.13,13.76,17.27
3,2,NSW,New South Wales and Australian Capital Territory,1.3,3.02,4.82
3,3,VIC,Victoria,0.3,0.86,2.17
3,4,SA,South Australia,5.54,10.26,13.44
3,5,TAS,Tasmania,0.0,0.0,0.0
3,6,NT,Northern Territory,1.56,9.2,11.56
3,7,QLDNorth,Queensland North,0.17,1.73,1.94
3,8,QLDSouth,Queensland South,2.24,6.4,7.66
3,9,AUS,Australia,3.13,9.29,11.35
