period,region,abbrevs,names,days100_p10,days100_p50,days100_p90
0,0,0,Western Australia,0.0,0.0,0.0
0,1,1,Northern Territory,0.0,0.0,0.0
0,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.0,0.0
0,3,3,Green Triangle,0.0,0.0,0.0
0,4,4,Northern Queensland,0.0,0.0,0.0
0,5,5,South East Queensland,0.0,0.0,0.0
0,6,6,Northern Tablelands,0.0,0.0,0.0
0,7,7,North Coast,0.0,0.0,0.0
0,8,8,Central Tablelands,0.0,0.0,0.0
0,9,9,Southern Tablelands,0.0,0.0,0.0
0,10,10,Murray Valley,0.0,0.0,0.0
0,11,11,Central Victoria,0.0,0.0,0.0
0,12,12,Central Gippsland,0.0,0.0,0.0
0,13,13,East GippslandBombala,0.0,0.0,0.0
0,14,14,Tasmania,0.0,0.0,0.0
0,15,15,Pilliga,0.0,0.0,0.0
0,16,16,SE NSW,0.0,0.0,0.0
1,0,0,Western Australia,0.03,0.5,1.08
1,1,1,Northern Territory,-0.01,0.06,0.19
1,2,2,Mount Lofty Ranges and Kangaroo Island,0.01,0.11,0.56
1,3,3,Green Triangle,0.01,0.1,0.7
1,4,4,Northern Queensland,0.0,0.0,0.01
1,5,5,South East Queensland,0.0,0.0,0.02
1,6,6,Northern Tablelands,0.0,0.0,0.01
1,7,7,North Coast,0.0,0.01,0.06
1,8,8,Central Tablelands,0.0,0.0,0.1
1,9,9,Southern Tablelands,-0.01,0.0,0.03
1,10,10,Murray Valley,0.0,0.06,0.35
1,11,11,Central Victoria,0.0,0.06,0.39
1,12,12,Central Gippsland,0.0,0.02,0.08
1,13,13,East GippslandBombala,0.0,0.0,0.02
1,14,14,Tasmania,0.0,0.0,0.0
1,15,15,Pilliga,0.03,0.15,0.74
1,16,16,SE NSW,-0.01,0.0,0.06
2,0,0,Western Australia,0.47,0.99,2.27
2,1,1,Northern Territory,0.0,0.14,0.52
2,2,2,Mount Lofty Ranges and Kangaroo Island,0.0,0.12,1.15
2,3,3,Green Triangle,0.01,0.12,1.18
2,4,4,Northern Queensland,-0.01,0.0,-0.0
2,5,5,South East Queensland,-0.01,0.0,0.03
2,6,6,Northern Tablelands,-0.01,0.0,0.01
2,7,7,North Coast,-0.01,0.0,0.04
2,8,8,Central Tablelands,-0.01,0.06,0.18
2,9,9,Southern Tablelands,0.0,0.02,0.07
2,10,10,Murray Valley,0.0,0.1,0.55
2,11,11,Central Victoria,0.0,0.12,0.75
2,12,12,Central Gippsland,0.0,0.03,0.13
2,13,13,East GippslandBombala,0.0,0.0,0.04
2,14,14,Tasmania,0.0,0.0,0.0
2,15,15,Pilliga,-0.1,0.28,0.59
2,16,16,SE NSW,-0.01,0.01,0.06
3,0,0,Western Australia,0.65,1.96,3.07
3,1,1,Northern Territory,0.04,0.41,1.14
3,2,2,Mount Lofty Ranges and Kangaroo Island,0.1,0.48,1.69
3,3,3,Green Triangle,0.04,0.45,1.56
3,4,4,Northern Queensland,0.0,0.0,0.02
3,5,5,South East Queensland,-0.01,0.02,0.03
3,6,6,Northern Tablelands,0.0,0.04,0.06
3,7,7,North Coast,-0.01,0.06,0.14
3,8,8,Central Tablelands,0.0,0.07,0.37
3,9,9,Southern Tablelands,0.0,0.04,0.18
3,10,10,Murray Valley,0.02,0.26,0.97
3,11,11,Central Victoria,0.02,0.31,1.19
3,12,12,Central Gippsland,0.0,0.08,0.3
3,13,13,East GippslandBombala,0.0,0.01,0.06
3,14,14,Tasmania,0.0,0.0,0.0
3,15,15,Pilliga,0.16,1.09,1.65
3,16,16,SE NSW,-0.01,0.02,0.13
