period,region,abbrevs,names,days100_p10,days100_p50,days100_p90
0,0,WANorth,Western Australia North,0.0,0.0,0.0
0,1,WASouth,Western Australia South,0.0,0.0,0.0
0,2,NSW,New South Wales and Australian Capital Territory,0.0,0.0,0.0
0,3,VIC,Victoria,0.0,0.0,0.0
0,4,SA,South Australia,0.0,0.0,0.0
0,5,TAS,Tasmania,0.0,0.0,0.0
0,6,NT,Northern Territory,0.0,0.0,0.0
0,7,QLDNorth,Queensland North,0.0,0.0,0.0
0,8,QLDSouth,Queensland South,0.0,0.0,0.0
0,9,AUS,Australia,0.0,0.0,0.0
1,0,WANorth,Western Australia North,0.28,0.74,1.54
1,1,WASouth,Western Australia South,0.24,0.74,1.41
1,2,NSW,New South Wales and Australian Capital Territory,0.07,0.13,0.34
1,3,VIC,Victoria,0.01,0.04,0.14
1,4,SA,South Australia,0.52,0.88,1.69
1,5,TAS,Tasmania,0.0,0.0,0.0
1,6,NT,Northern Territory,0.06,0.14,0.32
1,7,QLDNorth,Queensland North,0.0,0.0,0.02
1,8,QLDSouth,Queensland South,0.05,0.19,0.44
1,9,AUS,Australia,0.19,0.4,0.87
2,0,WANorth,Western Australia North,0.78,1.28,3.31
2,1,WASouth,Western Australia South,0.64,1.16,2.3
2,2,NSW,New South Wales and Australian Capital Territory,0.1,0.24,0.54
2,3,VIC,Victoria,0.0,0.09,0.3
2,4,SA,South Australia,0.79,1.15,2.42
2,5,TAS,Tasmania,0.0,0.0,0.0
2,6,NT,Northern Territory,0.08,0.22,0.73
2,7,QLDNorth,Queensland North,0.0,0.01,0.03
2,8,QLDSouth,Queensland South,0.04,0.22,0.73
2,9,AUS,Australia,0.4,0.68,1.33
3,0,WANorth,Western Australia North,0.76,3.58,5.26
3,1,WASouth,Western Australia South,0.76,2.88,3.64
3,2,NSW,New South Wales and Australian Capital Territory,0.29,0.49,0.97
3,3,VIC,Victoria,0.06,0.12,0.44
3,4,SA,South Australia,1.52,2.56,3.51
3,5,TAS,Tasmania,0.0,0.0,0.0
3,6,NT,Northern Territory,0.16,1.06,1.51
3,7,QLDNorth,Queensland North,0.0,0.06,0.1
3,8,QLDSouth,Queensland South,0.25,0.74,1.28
3,9,AUS,Australia,0.51,1.69,2.5
